date,weighted_goldstein,event_count,avg_tone,source_count,total_mentions,total_articles
2020-01-01,2.5104761904761905,53,-1.8329157587525877,58,210,210
2020-01-02,5.134883720930232,19,-2.933319913263217,19,86,86
2020-01-03,5.88080808080808,21,-3.579366639583178,21,99,99
2020-01-04,0.3109947643979056,56,-4.295613890392668,57,191,191
2020-01-05,1.165350052246604,1004,-2.7523664389530804,1046,4785,4684
2020-01-06,1.4206523635095065,2272,-2.2561887738809556,2373,11466,11243
2020-01-07,1.252505832193709,2461,-2.0293192631397807,2632,12431,12213
2020-01-08,1.3747561109284225,3663,-1.9226846069353505,3980,18246,17901
2020-01-09,0.9038755661147819,2868,-2.4660985644597373,3027,13469,13309
2020-01-10,1.1612692307692305,2054,-2.3570205171399223,2200,10400,10201
2020-01-11,1.488074056263525,1585,-2.26411616140887,1681,8318,8088
2020-01-12,1.9829549343981747,1799,-2.4132296205131136,1911,8765,8641
2020-01-13,1.5375991292178506,2659,-1.8262830615654007,2920,12862,12467
2020-01-14,0.9906782991432835,2786,-2.104676754607785,2930,12723,12472
2020-01-15,0.5319115059079863,2343,-2.236571503964577,2448,11933,11748
2020-01-16,1.1484332575034857,2634,-2.261525493301578,2812,13627,13299
2020-01-17,1.3433982022864126,2353,-2.278138259199508,2489,11459,11075
2020-01-18,0.532658154939042,2228,-2.7987771894326006,2350,10417,10133
2020-01-19,0.9489294330518699,2657,-2.5473142950303522,2839,13264,12868
2020-01-20,1.4627338260790221,2236,-2.1013557768284037,2410,10959,10785
2020-01-21,0.9371580236831362,1969,-2.188924488160301,2038,9796,9686
2020-01-22,0.8461203856101576,1641,-2.3485852094883373,1746,8506,8406
2020-01-23,0.8090970807875083,1960,-2.1229767163245197,2073,10311,10106
2020-01-24,0.8593152475894753,2470,-1.9801426338283659,2690,12238,12035
2020-01-25,0.9159532073531301,1530,-2.5183147625240108,1623,7779,7674
2020-01-26,1.2090121999212908,1627,-2.370935367098054,1754,7623,7571
2020-01-27,0.6236962590731437,1646,-2.6518377487221323,1834,8955,8787
2020-01-28,0.7328332569857994,1807,-2.730069565791068,1924,8732,8601
2020-01-29,0.4898318042813457,2194,-2.49302258686541,2378,10464,10285
2020-01-30,0.37694911776774725,1846,-2.6121525843332782,1990,9748,9633
2020-01-31,0.6035441490986863,1948,-2.361093101545997,2043,9819,9721
2020-02-01,0.656116687578419,1212,-2.373946193950143,1298,6376,6220
2020-02-02,0.9100741656365879,1262,-2.149469121791742,1313,6472,6349
2020-02-03,-0.1569633115841267,3900,-3.088560553724873,4113,18698,18411
2020-02-04,-0.418775564943338,3230,-3.5285161683555533,3406,14913,14767
2020-02-05,-0.033985426376944794,2979,-3.3570634799764734,3204,15233,15000
2020-02-06,-0.07685459940652815,2716,-3.8123256837597435,2991,13817,13633
2020-02-07,0.4474566529361051,2097,-3.31100080286131,2242,10439,10241
2020-02-08,0.3763030998851895,1752,-3.0729788186867775,1867,8710,8511
2020-02-09,0.98806675527987,1387,-2.6931225198903537,1444,6771,6675
2020-02-10,-0.05732306065412783,2726,-3.672617928353642,2898,13239,13010
2020-02-11,-0.00013319520497262605,2831,-3.7332415606251064,3022,13514,13305
2020-02-12,-0.29519000342348506,3701,-3.7400531630046867,3917,17526,17216
2020-02-13,-0.19489974149374684,2893,-3.5031042743769882,3039,14313,13983
2020-02-14,0.26365089291918564,3140,-2.2985423625862373,3258,14391,14153
2020-02-15,0.4797887501047866,2669,-2.996594980887604,2921,11929,11666
2020-02-16,0.1077880512091039,1860,-3.247748681106065,1964,8436,8337
2020-02-17,0.43586545425283657,2639,-3.1830878398547795,2805,12427,12239
2020-02-18,0.07567641996557656,2934,-3.5194056127110707,3101,14525,14325
2020-02-19,0.033348334833483394,3398,-3.3219998907512167,3577,15554,15313
2020-02-20,-0.4651785714285715,3696,-3.74697940451214,4009,17808,17535
2020-02-21,0.4806856796116505,3522,-3.687574695828923,3733,16480,16231
2020-02-22,0.6117576429297127,2244,-3.8252628604688925,2366,10827,10522
2020-02-23,-0.16841653247450336,1872,-3.6115094811773374,1948,9315,9077
2020-02-24,-0.29660686827268057,1959,-3.2553092429688917,2037,9755,9586
2020-02-25,-0.05384505021520807,2973,-3.0889761875914035,3164,13940,13655
2020-02-26,0.3470807642536348,2754,-3.0941965958287647,2987,13137,12927
2020-02-27,-0.15567681746171438,3429,-3.687783600309337,3781,17043,16754
2020-02-28,-0.22484724067141657,8539,-4.712272164887975,9280,41405,40947
2020-02-29,0.0028495398602949693,5277,-4.510828842148606,5790,27057,26674
2020-03-01,-0.6607652135264269,5296,-4.538398321720396,5889,26999,26679
2020-03-02,-0.16110969712395012,6424,-4.269474725280968,6888,31432,31095
2020-03-03,-0.15585833843641567,5921,-4.142276375664269,6388,29394,29041
2020-03-04,0.04293062153991127,5232,-4.286560843113471,5569,25469,25173
2020-03-05,0.4733689630450366,6245,-3.8931843532541635,6915,30686,30227
2020-03-06,0.43984420561526283,5111,-3.6976290135951535,5460,24006,23741
2020-03-07,0.3124344669982525,2850,-3.901183911442258,3119,14878,14622
2020-03-08,0.6156505193054786,2411,-3.814282626377521,2560,12613,12432
2020-03-09,1.342979788946521,3272,-3.1463863987054923,3516,16773,16636
2020-03-10,1.2749535265172225,3532,-2.6226590709496564,3745,18290,18075
2020-03-11,0.7990672022877374,2930,-2.9196201157665906,3059,14687,14516
2020-03-12,0.5663227260903495,2277,-3.2668234115452446,2372,11533,11399
2020-03-13,0.8359712230215828,1785,-2.7114056452643953,1940,9591,9394
2020-03-14,0.24916191753268518,1109,-3.0783113931152406,1161,5966,5904
2020-03-15,0.4016548097742037,1231,-3.4009603234954056,1336,6466,6382
2020-03-16,0.7039643066120536,1252,-3.297609694505266,1316,6836,6732
2020-03-17,0.7059390621280649,1569,-3.228623194727505,1702,8402,8228
2020-03-18,0.10937303417907311,1611,-3.3779064991278274,1728,9538,9397
2020-03-19,0.44447510001379514,1310,-3.4295589172260783,1367,7249,7072
2020-03-20,0.014917904612978993,1056,-3.7905700712716213,1111,6395,6246
2020-03-21,-0.33388121849660324,772,-3.1650142635111305,823,4563,4449
2020-03-22,-0.03810837932764681,638,-3.607790075183795,677,3986,3940
2020-03-23,-0.15135598503740652,1021,-2.7619952265874907,1089,6416,6219
2020-03-24,0.4775988286969254,1025,-2.8542499357060707,1077,6147,6024
2020-03-25,-0.422099372099372,1373,-4.615477919781012,1474,7326,7215
2020-03-26,0.37832394606588143,1038,-3.812773928060102,1083,5859,5710
2020-03-27,0.207434424957318,1091,-3.136146534750999,1141,6443,6304
2020-03-28,-0.6059901338971106,739,-3.3089885654478453,769,4257,4217
2020-03-29,-0.49113149847094795,621,-3.4705444981608733,654,3924,3842
2020-03-30,1.0754716981132075,872,-2.9398644315571407,908,5088,4986
2020-03-31,1.1315728211843443,1167,-3.0484921384554795,1221,6873,6734
2020-04-01,1.9620574811890958,1352,-2.081835440309208,1428,8107,7922
2020-04-02,0.6856352787076117,1177,-2.5684826509499437,1236,6871,6622
2020-04-03,0.6577171572146446,1151,-2.9443002193249845,1215,6965,6816
2020-04-04,-0.08054919908466818,721,-2.7397345561612245,751,4807,4662
2020-04-05,0.4107481296758103,612,-2.577053979726716,637,4010,3844
2020-04-06,0.9056058890147225,818,-2.3579150294184794,858,5298,4919
2020-04-07,0.397983794987752,879,-2.8468372696025037,907,5307,5223
2020-04-08,0.9433859223300972,1028,-1.9073757865146705,1103,6592,6410
2020-04-09,1.0165203923593187,996,-1.8961160631792096,1051,5811,5740
2020-04-10,1.4186209801994103,1080,-1.6786002797109332,1172,7121,6985
2020-04-11,0.13657193605683834,903,-2.2953974209966113,952,5630,5456
2020-04-12,0.9520990520410139,833,-2.935225700676087,885,5169,5076
