term,estimate,std_error,statistic,p_value,hac_lag,model,N,return_unit
(Intercept),-1.1870402073332426e-4,7.760861704249258e-4,-0.1529521144131855,0.8784555682021682,7,Model A - Actor1,1586,percent
goldstein_a1,0.001903123360586833,8.561920059450936e-4,2.222776371856102,0.026371943809693998,7,Model A - Actor1,1586,percent
event_count_a1_c,5.09236556383765e-7,6.053944263227243e-7,0.8411649236299719,0.40038283225253246,7,Model A - Actor1,1586,percent
return_vix,-0.03861503622204641,0.007567782914885243,-5.102556013610488,3.756152063610827e-7,7,Model A - Actor1,1586,percent
return_usdtry,0.0696799600036502,0.10964048050369342,0.6355313264182832,0.5251739749178592,7,Model A - Actor1,1586,percent
return_bist_lag1,0.02800988338080505,0.027135655431760143,1.032216946122543,0.30212846971475726,7,Model A - Actor1,1586,percent
(Intercept),-7.435042341792865e-4,9.685129717031073e-4,-0.7676760723935909,0.4427943614113967,7,Model B - Actor2,1586,percent
goldstein_a2,0.001511139322246959,6.594243024946588e-4,2.291603928654417,0.022059545453220333,7,Model B - Actor2,1586,percent
event_count_a2_c,8.818071824936228e-7,7.785831014943129e-7,1.132579400710335,0.2575627660619664,7,Model B - Actor2,1586,percent
return_vix,-0.038677071369315474,0.007600703346101928,-5.0886174092232235,4.0381422271271695e-7,7,Model B - Actor2,1586,percent
return_usdtry,0.06809835473824344,0.10994044427877366,0.6194113111419478,0.535734736135565,7,Model B - Actor2,1586,percent
return_bist_lag1,0.027325460669297478,0.027184025400244387,1.005202881728172,0.3149530841505428,7,Model B - Actor2,1586,percent
(Intercept),-7.317120980108663e-4,0.001003950853340186,-0.7288325873487033,0.4661580172747596,8,Pooled role-interaction,3172,percent
goldstein,0.0014982566443837724,6.872862222401412e-4,2.179960249312657,0.029333881851986345,8,Pooled role-interaction,3172,percent
role_dummy,6.121873308418145e-4,6.372915070817501e-4,0.9606080169577479,0.33682269800347975,8,Pooled role-interaction,3172,percent
event_count_c,6.482754546080064e-7,6.696623442042969e-7,0.9680631742528352,0.333086810787369,8,Pooled role-interaction,3172,percent
return_vix,-0.03864182868162717,0.007155337355167269,-5.400420240664368,7.14000401221411e-8,8,Pooled role-interaction,3172,percent
return_usdtry,0.06889836353560698,0.11477505581430777,0.6002903945180932,0.5483557107129762,8,Pooled role-interaction,3172,percent
return_bist_lag1,0.02763388238284528,0.02671238325849405,1.034497076334745,0.3009829033271758,8,Pooled role-interaction,3172,percent
goldstein:role_dummy,4.12350679197484e-4,5.747713983000091e-4,0.7174168380978699,0.47316989311512403,8,Pooled role-interaction,3172,percent
A_(Intercept),0.0012141579937558396,4.4186855086147985e-4,2.747780966508437,0.006068209738936403,NA,SUR alternative,1586,percent
A_goldstein_a1,1.131201843985094e-5,5.075149003666195e-5,0.22289037093648573,0.8236496410638487,NA,SUR alternative,1586,percent
A_event_count_a1_c,3.131872725765494e-8,8.19758158224554e-8,0.3820483754072734,0.7024768609079357,NA,SUR alternative,1586,percent
A_return_vix,-0.03878504867197239,0.005467633120797465,-7.093571901238961,1.965094753586527e-12,NA,SUR alternative,1586,percent
A_return_usdtry,0.06845497255106613,0.042004187152983936,1.6297178255526164,0.1033604773072494,NA,SUR alternative,1586,percent
A_return_bist_lag1,0.02853858786245594,0.02466592913117255,1.157004372739771,0.24744546387638433,NA,SUR alternative,1586,percent
B_(Intercept),0.0012129277866633173,4.438098730200837e-4,2.732989643536904,0.0063461966029527694,NA,SUR alternative,1586,percent
B_goldstein_a2,7.060620058459349e-6,4.234177786489006e-5,0.1667530371773557,0.8675857091668222,NA,SUR alternative,1586,percent
B_event_count_a2_c,4.1048792772625496e-8,1.0619776763991315e-7,0.3865315974607907,0.6991550535358335,NA,SUR alternative,1586,percent
B_return_vix,-0.03878119541350804,0.005466598897319433,-7.094209057943604,1.956212969389526e-12,NA,SUR alternative,1586,percent
B_return_usdtry,0.06844369903587993,0.04199724031855567,1.62971896526352,0.10336023629097868,NA,SUR alternative,1586,percent
B_return_bist_lag1,0.02852660038701239,0.024661717776979737,1.1567158721457875,0.24756331766739237,NA,SUR alternative,1586,percent
