term,estimate,std_error,statistic,p_value,hac_lag,role,outcome,include_vix,include_fx,include_lag,model_formula,N,return_unit,estimate_reported,std_error_reported
(Intercept),-1.8366807977914732e-4,8.235859155952663e-4,-0.22301022431448073,0.8235563208875235,7,Actor1,nominal,FALSE,FALSE,FALSE,return_bist ~ goldstein_a1 + event_count_a1_c,1586,percent,-0.01836680797791473,0.08235859155952663
goldstein_a1,0.002134764191546852,8.972544108640368e-4,2.379218386333838,0.017467329638513395,7,Actor1,nominal,FALSE,FALSE,FALSE,return_bist ~ goldstein_a1 + event_count_a1_c,1586,percent,0.2134764191546852,0.08972544108640368
event_count_a1_c,3.398637597932898e-7,6.316220608467144e-7,0.53808088865308,0.5905968480251649,7,Actor1,nominal,FALSE,FALSE,FALSE,return_bist ~ goldstein_a1 + event_count_a1_c,1586,percent,3.398637597932898e-5,6.316220608467144e-5
(Intercept),-9.486838471679653e-4,0.0010319428731465992,-0.9193181830649593,0.358069228519726,7,Actor2,nominal,FALSE,FALSE,FALSE,return_bist ~ goldstein_a2 + event_count_a2_c,1586,percent,-0.09486838471679652,0.10319428731465992
goldstein_a2,0.001741745150458273,6.856553742737268e-4,2.540263251495984,0.011171769886710724,7,Actor2,nominal,FALSE,FALSE,FALSE,return_bist ~ goldstein_a2 + event_count_a2_c,1586,percent,0.17417451504582732,0.06856553742737267
event_count_a2_c,7.019286572997355e-7,8.064916995554578e-7,0.8703482722595186,0.38424206448940046,7,Actor2,nominal,FALSE,FALSE,FALSE,return_bist ~ goldstein_a2 + event_count_a2_c,1586,percent,7.019286572997356e-5,8.064916995554578e-5
(Intercept),-0.0010286537923886437,8.225611445185613e-4,-1.2505499429962825,0.21128353618849022,7,Actor1,real,FALSE,FALSE,FALSE,real_return_bist ~ goldstein_a1 + event_count_a1_c,1586,percent,-0.10286537923886437,0.08225611445185613
goldstein_a1,0.002001064245403049,8.960750456312291e-4,2.2331435912194424,0.025678775090182973,7,Actor1,real,FALSE,FALSE,FALSE,real_return_bist ~ goldstein_a1 + event_count_a1_c,1586,percent,0.2001064245403049,0.08960750456312291
event_count_a1_c,3.7294454046116286e-7,6.267506452999302e-7,0.5950445256944108,0.5518987554150773,7,Actor1,real,FALSE,FALSE,FALSE,real_return_bist ~ goldstein_a1 + event_count_a1_c,1586,percent,3.729445404611628e-5,6.267506452999302e-5
(Intercept),-0.0016846863283036973,0.0010344783991366395,-1.6285369802885317,0.10361005489231298,7,Actor2,real,FALSE,FALSE,FALSE,real_return_bist ~ goldstein_a2 + event_count_a2_c,1586,percent,-0.16846863283036972,0.10344783991366395
goldstein_a2,0.0015861690214456746,6.859437797513917e-4,2.312389248606575,0.020883983823659743,7,Actor2,real,FALSE,FALSE,FALSE,real_return_bist ~ goldstein_a2 + event_count_a2_c,1586,percent,0.15861690214456745,0.06859437797513916
event_count_a2_c,7.413018125346422e-7,8.009086846227305e-7,0.9255759448829474,0.3548074768179422,7,Actor2,real,FALSE,FALSE,FALSE,real_return_bist ~ goldstein_a2 + event_count_a2_c,1586,percent,7.413018125346422e-5,8.009086846227304e-5
(Intercept),-2.9365218039381148e-8,7.959266795999154e-4,-3.68943758163026e-5,0.9999705671987309,7,Actor1,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,-2.9365218039381146e-6,0.07959266795999154
goldstein_a1,0.0019184822308563802,8.753134088724139e-4,2.191766070769766,0.028541722431256675,7,Actor1,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,0.19184822308563804,0.08753134088724139
event_count_a1_c,4.876345125481596e-7,6.050743928488919e-7,0.8059083615358664,0.4204168096163544,7,Actor1,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,4.8763451254815965e-5,6.050743928488919e-5
return_vix,-0.03797672010169194,0.0074872206592534775,-5.072205272160158,4.395810860011856e-7,7,Actor1,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,-3.797672010169194,0.7487220659253477
(Intercept),-6.717285284926123e-4,9.910459689808848e-4,-0.6777975487689699,0.49799918070691374,7,Actor2,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix,1586,percent,-0.06717285284926124,0.09910459689808848
goldstein_a2,0.0015530053519617172,6.673262665309598e-4,2.327205491303207,0.02007997712163891,7,Actor2,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix,1586,percent,0.15530053519617174,0.06673262665309598
event_count_a2_c,8.586113849354996e-7,7.783490512453719e-7,1.1031186889245983,0.27014339944221105,7,Actor2,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix,1586,percent,8.586113849354996e-5,7.783490512453718e-5
return_vix,-0.03804873221751479,0.0075292634456453214,-5.053446793593194,4.842883158697262e-7,7,Actor2,nominal,TRUE,FALSE,FALSE,return_bist ~ goldstein_a2 + event_count_a2_c + return_vix,1586,percent,-3.804873221751479,0.7529263445645321
(Intercept),-8.444107233737824e-4,7.948952479995588e-4,-1.062291824613161,0.28826535703074785,7,Actor1,real,TRUE,FALSE,FALSE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,-0.08444107233737824,0.07948952479995589
goldstein_a1,0.0017840705014346215,8.740086262152685e-4,2.0412504498499136,0.04139157500116796,7,Actor1,real,TRUE,FALSE,FALSE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,0.17840705014346214,0.08740086262152684
event_count_a1_c,5.212016063160528e-7,5.998859552170966e-7,0.8688344872608856,0.3850694548687229,7,Actor1,real,TRUE,FALSE,FALSE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,5.2120160631605276e-5,5.998859552170966e-5
return_vix,-0.0381017013725926,0.007482380803407588,-5.092189554859399,3.9634239268655547e-7,7,Actor1,real,TRUE,FALSE,FALSE,real_return_bist ~ goldstein_a1 + event_count_a1_c + return_vix,1586,percent,-3.81017013725926,0.7482380803407588
(Intercept),-0.0014067512752531024,9.95091983821163e-4,-1.4136896871092897,0.15764977652415504,7,Actor2,real,TRUE,FALSE,FALSE,real_return_bist ~ goldstein_a2 + event_count_a2_c + return_vix,1586,percent,-0.14067512752531022,0.0995091983821163
