variable,N,mean,median,min,max,sd,unit
bist100_close,1586,6043.647635268684,5209.849853515625,842.46197509765625,15133.5,4324.209534397795,native
return_bist,1586,0.13233578344513355,0.1636469979310765,-10.303776744693268,9.423414341423902,1.7647834018267423,percent
return_bist_lag1,1586,0.1324439964875046,0.164687738001833,-10.303776744693268,9.423414341423902,1.7736074575582066,percent
abs_return_bist,1586,1.2524173020991953,0.9349504153408235,0,10.303776744693268,1.249978217619433,percent
real_return_bist,1586,0.0382844391344085,0.07061673773965049,-10.357342736300753,9.342539945418254,1.7609415756324334,percent
goldstein_a1,1586,0.7092918317252952,0.7297547646316085,-2.809503346830841,3.363636363636364,0.5819233264034208,native
event_count_a1,1586,1813.6065573770493,1412.5,1,16997,1205.326106243578,native
event_count_a1_c,1586,-21.022804837150602,-422.1293622141998,-1833.6293622142,15162.3706377858,1205.326106243578,native
tone_a1,1586,-1.6517746710474865,-1.5809370334198074,-4.712272164887975,0.9079247388181864,0.7887678386006561,native
source_count_a1,1586,1899.0403530895335,1477,1,18567,1281.7532928506082,native
mentions_a1,1586,9691.005044136191,7561,8,85488,6129.376491051901,native
articles_a1,1586,9468.800756620429,7393,8,84448,6009.277336263122,native
goldstein_a2,1586,1.3106524425832278,1.3709951736610992,-5,7,0.681429597307567,native
event_count_a2,1586,1300.2566204287516,1019,1,14338,930.7937979793232,native
event_count_a2_c,1586,-15.358903036952395,-296.615523465704,-1314.615523465704,13022.384476534296,930.7937979793232,native
tone_a2,1586,-1.5269757744961059,-1.4450180924972074,-6.53409090909091,1.779498103641428,0.840468751051252,native
source_count_a2,1586,1360.2723833543505,1062,1,15106,989.1433793005576,native
mentions_a2,1586,6456.411097099622,5081.5,3,75625,4512.815380239828,native
articles_a2,1586,6334.055485498108,4992,3,74176,4441.605085236307,native
vix_close,1586,20.844596497799078,18.850000381469727,11.859999656677246,82.69000244140625,7.678796652174656,native
return_vix,1586,0.07142568058901895,-0.751102501920197,-44.244875916441465,55.4109651038965,7.9989024464966345,percent
usdtry_close,1586,23.490270143799943,19.321929931640625,5.855100154876709,47.50139999389648,13.389598200965205,native
return_usdtry,1586,0.13401446407402626,0.06747366286164849,-20.904064133259066,11.677232887291753,1.0375211312827557,percent
cpi_daily_interp,1586,54.79829521961093,40.847619,14.033021,132.31,37.51510976630167,native
daily_inflation_log,1586,9.405134431072459e-4,7.80752375293875e-4,0,0.00451495571782066,7.505234181657228e-4,native
