term,estimate,std_error,statistic,p_value,hac_lag,role,timing,model,outcome,N,event_count_sample_mean,centered_mean_check,estimate_reported,std_error_reported,return_unit
(Intercept),0.01127763883271448,7.43528675608261e-4,15.16772547271098,1.2948265036693898e-48,7,Actor1,reaction,role_specific,abs_return_bist,1585,1812.6485804416404,-6.58455414272923e-14,1.127763883271448,0.0743528675608261,percent
goldstein_a1,1.460624542724921e-4,6.485626906302695e-4,0.22520946144859094,0.8218454715128859,7,Actor1,reaction,role_specific,abs_return_bist,1585,1812.6485804416404,-6.58455414272923e-14,0.01460624542724921,0.06485626906302695,percent
event_count_c,1.7164723818293754e-6,4.774879313690172e-7,3.594797415943133,3.3462321415048097e-4,7,Actor1,reaction,role_specific,abs_return_bist,1585,1812.6485804416404,-6.58455414272923e-14,1.7164723818293754e-4,4.774879313690173e-5,percent
return_vix,0.0092031171028499,0.006486768217178642,1.4187522653387958,0.1561686014746134,7,Actor1,reaction,role_specific,abs_return_bist,1585,1812.6485804416404,-6.58455414272923e-14,0.92031171028499,0.6486768217178642,percent
return_usdtry,0.010152612258320504,0.10313358507812878,0.0984413782438514,0.9215943138120744,7,Actor1,reaction,role_specific,abs_return_bist,1585,1812.6485804416404,-6.58455414272923e-14,1.0152612258320504,10.313358507812879,percent
abs_return_bist_lag1,0.08925940785216287,0.03515359202310459,2.539126237611718,0.011208234444311719,7,Actor1,reaction,role_specific,abs_return_bist,1585,1812.6485804416404,-6.58455414272923e-14,8.925940785216287,3.515359202310459,percent
(Intercept),0.010941210147950152,9.481043827693502e-4,11.540090254610574,1.2323570283234882e-29,7,Actor2,reaction,role_specific,abs_return_bist,1585,1299.5678233438487,-7.068129817851016e-14,1.0941210147950151,0.09481043827693503,percent
goldstein_a2,3.504861261225053e-4,5.387238793300622e-4,0.6505858373279413,0.515408526696385,7,Actor2,reaction,role_specific,abs_return_bist,1585,1299.5678233438487,-7.068129817851016e-14,0.03504861261225053,0.053872387933006215,percent
event_count_c,2.293688877767254e-6,6.584848015664876e-7,3.4832829433735357,5.08821184987577e-4,7,Actor2,reaction,role_specific,abs_return_bist,1585,1299.5678233438487,-7.068129817851016e-14,2.2936888777672537e-4,6.584848015664876e-5,percent
return_vix,0.00950081297375403,0.006516342620933007,1.4579977644566682,0.14504001919405488,7,Actor2,reaction,role_specific,abs_return_bist,1585,1299.5678233438487,-7.068129817851016e-14,0.9500812973754029,0.6516342620933007,percent
return_usdtry,0.009955861706722626,0.1029500795842454,0.09670572132560241,0.9229723685088507,7,Actor2,reaction,role_specific,abs_return_bist,1585,1299.5678233438487,-7.068129817851016e-14,0.9955861706722626,10.29500795842454,percent
abs_return_bist_lag1,0.08770818970546086,0.035607829178186376,2.463171491487371,0.013877419917308892,7,Actor2,reaction,role_specific,abs_return_bist,1585,1299.5678233438487,-7.068129817851016e-14,8.770818970546086,3.5607829178186376,percent
(Intercept),0.010967105543109,7.529707206885155e-4,14.565115537401894,3.470083436803565e-45,7,Actor1,prediction,role_specific,abs_return_bist,1585,1814.0946372239748,-6.240588137383848e-14,1.0967105543109,0.07529707206885156,percent
goldstein_a1_lag1,5.123770372737878e-4,6.17758694610372e-4,0.8294129111318301,0.406996164530147,7,Actor1,prediction,role_specific,abs_return_bist,1585,1814.0946372239748,-6.240588137383848e-14,0.051237703727378785,0.0617758694610372,percent
event_count_c,-1.9555984833306817e-7,3.2238155133992075e-7,-0.6066099239247995,0.5441970162129743,7,Actor1,prediction,role_specific,abs_return_bist,1585,1814.0946372239748,-6.240588137383848e-14,-1.9555984833306816e-5,3.223815513399208e-5,percent
return_vix,0.01093502185859175,0.006690736167261099,1.6343525712609408,0.10238417823801071,7,Actor1,prediction,role_specific,abs_return_bist,1585,1814.0946372239748,-6.240588137383848e-14,1.093502185859175,0.6690736167261099,percent
return_usdtry,0.009636938526455453,0.10350145465362953,0.09310920854886275,0.9258286138224279,7,Actor1,prediction,role_specific,abs_return_bist,1585,1814.0946372239748,-6.240588137383848e-14,0.9636938526455453,10.350145465362953,percent
abs_return_bist_lag1,0.09326146347245355,0.03581798044968553,2.603761080373038,0.009307145260223233,7,Actor1,prediction,role_specific,abs_return_bist,1585,1814.0946372239748,-6.240588137383848e-14,9.326146347245356,3.581798044968553,percent
(Intercept),0.010577997588401477,9.050365110949782e-4,11.687923590622278,2.5046796249995457e-30,7,Actor2,prediction,role_specific,abs_return_bist,1585,1300.5766561514195,1.1085062065599476e-13,1.0577997588401478,0.09050365110949782,percent
goldstein_a2_lag1,5.902170603061768e-4,5.312717698673398e-4,1.1109512942002466,0.26675845175966484,7,Actor2,prediction,role_specific,abs_return_bist,1585,1300.5766561514195,1.1085062065599476e-13,0.05902170603061768,0.053127176986733984,percent
